Permit_Number,Date_of_Submission,Date_of_Permit_Issuance,Completed_Date,Expiration_Date,Permit_Name,Work_Type,Primary_Work_Scope,Permit_Status,Civic_ID,Civic_Number,Street_Name,Community,PID,Type_of_Structure,Work_Description,Active_Parcel,District
"DEVONLY-2021-17501",,,"2021-11-10 12:00:00",,"Development Only Permit","Residential","Renovation","Cancelled",13636,225,"FIVE ISLAND RD","HUBLEY","40052565","Dwelling - Single Detached","Applying for development permit to construct garage on land abutting single family dwelling   at 225 Five Island Road, Hubley","Y","District 13"
"DEVONLY-2021-18060","2021-10-26 12:00:00",,"2021-11-24 12:00:00",,"Development Only Permit","Residential","Home Occupation","Withdrawn",51366,141,"ALBRO LAKE RD","DARTMOUTH","00056515","Dwelling - Multiple Units","I'm going to develop a mobile app that helps transportation of people in Novascotia","Y","District 05"
"DEVONLY-2021-19006","2021-11-16 12:00:00",,"2024-01-24 12:00:00",,"Development Only Permit","Residential","Renovation","Withdrawn",80005,5759,"INGLIS ST","HALIFAX","00142711","Dwelling - Multiple Units","The Internal conversion of an existing 2 unit building into a 6 unit building according to Bylaw 43 AI of the L.U.Bylaw under the R2-A zoning","Y","District 07"
"DEVONLY-2021-19803","2021-12-08 12:00:00",,,,"Development Only Permit","Non Residential","Accessory Structure","Applicant Revisions",165184,2448,"HIGHWAY 2","WAVERLEY","00464040","Accessory Structure","A shipping container (accessory structure to the main building)","Y","District 01"
"DEVONLY-2021-20300","2021-12-23 12:00:00",,"2024-01-26 12:00:00",,"Development Only Permit","Non Residential","New Building","Withdrawn",174593,59,"PERRIN DR","FALL RIVER","41085895","Commercial","Development only application to build a 60,000 square foot distribution centre to distribute building materials to contractor and commercial customers. This building will not be open to retail customers","N","Unidentified"
"DEVONLY-2022-00574","2022-01-16 12:00:00",,"2022-01-17 12:00:00",,"Development Only Permit","Residential","New Building","Withdrawn",103736,263,"PONDEROSA DR","LAKE ECHO","40186314","Dwelling - Single Detached","We are planning to build 2100 SQFT Single family house 1 story on this lot.
We need to know, how close to the water we are allowed to build the house.","Y","District 02"
"DEVONLY-2022-01140","2022-01-28 12:00:00","2022-02-24 12:00:00","2022-02-24 12:00:00","2023-02-24 12:00:00","Development Only Permit","Residential","New Building","Completed",,,,,"41483629","Dwelling - Semi-Detached","We are intending to construct a new residential building located at Lot A Swallow Street, with the intent to offer affordable housing to the city.","Y","District 10"
"DEVONLY-2022-01927","2022-03-25 12:00:00","2023-05-09 12:00:00","2023-05-09 12:00:00","2024-05-09 12:00:00","Development Only Permit","Residential","New Building","Completed",2334,1507,"HAMMONDS PLAINS RD","HAMMONDS PLAINS","41522566","Dwelling - Multiple Units","Senior Citizens Housing, 98 Units - Building B & C","Y","District 14"
"DEVONLY-2022-02630","2022-03-02 12:00:00",,"2022-03-14 12:00:00",,"Development Only Permit","Residential","Accessory Structure","Withdrawn",35572,538,"WINDSOR JUNCTION RD","WINDSOR JUNCTION","00510818","Accessory Structure","We are planning to add a shed to our property at 538 Windsor Junction Road. The shed will be located on the right side of our asphalt driveway. The shed will be 14ftX24ft  336 square feet. This shed will house a workshop, tools and additional storage.","Y","District 01"
"DEVONLY-2022-03648","2022-03-21 12:00:00","2022-03-29 12:00:00","2022-03-29 12:00:00","2023-03-29 12:00:00","Development Only Permit","Non Residential","Renovation","Completed",48149,261,"BROWNLOW AVE","DARTMOUTH","40880189","Commercial","The building will be occupied by DeNova, a clean tech biotechnology company developing a sustainable protein ingredient from the fermentation of a natural, safe bacteria.  The building will be used for research and development at the lab scale and small pilot scale for the production of protein. No expansion or additions are proposed.","Y","District 06"
"DEVONLY-2022-04194","2022-03-29 12:00:00","2022-04-29 12:00:00","2022-04-29 12:00:00","2023-04-29 12:00:00","Development Only Permit","Non Residential","Renovation","Completed",24345,485,"HERRING COVE RD","HALIFAX","00281360","Commercial","We would like to construct a day-care facility on this property","Y","District 11"
"DEVONLY-2022-04803","2022-04-07 12:00:00","2022-04-21 12:00:00","2022-04-21 12:00:00","2023-04-21 12:00:00","Development Only Permit","Residential","Accessory Structure","Completed",107119,12,"TERREBONNE CRT","DARTMOUTH","40661498","Dwelling - Single Detached","Construct 12 ft by 14 shed","Y","District 06"
"DEVONLY-2022-05516","2022-04-22 12:00:00","2022-06-08 12:00:00","2022-06-08 12:00:00","2023-06-08 12:00:00","Development Only Permit","Residential","New Building","Completed",127240,324,"BEAVER BANK RD","BEAVER BANK","41052978","Dwelling - Multiple Units","To develop a 240 unit seniors complex.","N","District 14"
"DEVONLY-2022-06366","2022-05-06 12:00:00","2022-05-10 12:00:00","2022-05-10 12:00:00","2023-05-10 12:00:00","Development Only Permit","Residential","Accessory Structure","Completed",94208,1,"PINE OAK DR","WELLINGTON","00530485","Accessory Structure","Shed","Y","District 01"
"DEVONLY-2022-06931","2022-05-18 12:00:00",,"2022-07-06 12:00:00",,"Development Only Permit","Residential","Accessory Structure","Withdrawn",169169,50,"SEROTINA LANE","BEDFORD","41458639","Accessory Structure","I am proposing to build a 10' x 12' shed in my backyard. The height will be  10' at the roofline. It will be located a minimum of 5' from any property line.","Y","District 16"
"DEVONLY-2022-07765","2022-06-01 12:00:00","2022-06-08 12:00:00","2022-06-08 12:00:00","2023-06-08 12:00:00","Development Only Permit","Residential","Accessory Structure","Completed",162401,43,"JOES DR","HERRING COVE","41387259","Accessory Structure","Would like to construct a greenhouse on a prepared surface (gravel or concrete).","Y","District 11"
